vendor_id,avg_monthly_upi_inflow,upi_inflow_trend_pct,upi_inflow_volatility,upi_txn_count_monthly,avg_ticket_size,gig_order_volume_monthly,gig_order_trend_pct,business_vintage_months,bank_account_tenure_months,cash_recycling_score,existing_credit_lines,seasonal_dependency_index,gst_registered,epfo_active,label
V00000,120751.0,-4.87453520189779,0.2978921559059897,319.0,379.0,173.0,-4.273819735261591,27.0,28.0,0.7396967190543212,1,0.484,0,0,1
V00001,70689.0,-5.891790399748592,0.2970720292701498,87.0,815.0,144.0,-1.5913113240528802,65.0,57.0,0.34265483180743245,1,0.275,0,0,1
V00002,85308.0,2.1644709948596965,0.05510981640481415,562.0,152.0,248.0,1.6871748256763968,32.0,33.0,0.20972445709936424,0,0.269,0,0,0
V00003,61961.0,-8.208930584249982,0.4772830564176416,262.0,237.0,269.0,-8.070151982467705,7.0,3.0,0.2850535729306289,2,0.44,0,0,1
V00004,79473.0,-8.727813781598522,0.31922222486631224,473.0,168.0,219.0,-8.5316022894628,24.0,20.0,0.5523468642678213,1,0.261,0,0,1
V00005,52642.0,2.112573944416319,0.08830974049888571,346.0,152.0,233.0,0.5608315165886772,28.0,26.0,0.036707562416557496,0,0.247,0,0,0
V00006,36689.0,-5.9960294221492605,0.25688369629241903,437.0,84.0,88.0,-2.610892748516817,49.0,48.0,0.5377983172026668,0,0.375,0,0,1
V00007,66383.0,-1.267097999134048,0.20006720139357725,442.0,150.0,305.0,-4.355573512630704,23.0,23.0,0.5428124757855547,4,0.567,0,0,1
V00008,73313.0,1.199639625402107,0.2168634505467425,401.0,183.0,281.0,-6.518014789179961,21.0,18.0,0.33256995347723123,1,0.217,0,0,1
V00009,116793.0,-1.294743407902443,0.12704245523479973,507.0,230.0,292.0,1.3276530727932783,25.0,25.0,0.06260757799128995,0,0.21,0,0,0
V00010,70992.0,-4.853908610967356,0.19635280225695154,266.0,267.0,99.0,-5.715070808438595,21.0,17.0,0.6500727269747415,3,0.353,0,0,1
V00011,90230.0,1.898336509134853,0.16388631987387625,400.0,225.0,295.0,0.8043160780904675,53.0,52.0,0.20035341520259284,1,0.336,1,0,0
V00012,117668.0,0.7125494275973837,0.02,300.0,393.0,274.0,-0.3814225358261788,14.0,13.0,0.026215578393473663,1,0.362,1,0,0
V00013,133249.0,-0.051775284644822506,0.21375617516884726,300.0,444.0,347.0,-1.932493185202435,12.0,12.0,0.2663538191225197,3,0.434,0,0,1
V00014,121500.0,-4.251769434466824,0.40673461450761195,321.0,378.0,262.0,-7.089831573749292,13.0,15.0,0.38998791284840895,1,0.354,0,0,1
V00015,116438.0,-0.6024583758233408,0.33643619784460893,435.0,268.0,243.0,-1.3517947875722722,21.0,21.0,0.4420015646929205,0,0.561,0,1,1
V00016,91288.0,3.0384417710708154,0.12046774282565967,170.0,536.0,210.0,-2.2106869557572493,26.0,19.0,0.007164356345538228,0,0.505,1,0,0
V00017,128537.0,0.4364806305407056,0.1382408170290016,475.0,271.0,205.0,-7.724213987274678,37.0,40.0,0.3820232813244635,0,0.254,1,0,1
V00018,86265.0,-1.6571474413737668,0.31740328608668755,510.0,169.0,353.0,1.280566793008541,47.0,43.0,0.42330884775941785,1,0.35,0,0,1
V00019,69696.0,-0.6394005218502488,0.29996831390227474,362.0,193.0,266.0,-4.3618536274119,29.0,25.0,0.543953480729884,5,0.525,0,0,1
V00020,57834.0,2.423130494547876,0.08282347987902866,349.0,166.0,392.0,-2.598410512217339,30.0,31.0,0.083497868963565,0,0.542,0,0,1
V00021,75264.0,-5.753874530383537,0.5209547056352755,446.0,169.0,186.0,-3.065443163867654,42.0,49.0,0.5738781816688502,0,0.173,0,0,1
V00022,76982.0,0.6120894303714364,0.12162355207565932,375.0,205.0,296.0,3.4690449798335994,24.0,16.0,0.13695739322833736,0,0.358,0,0,0
V00023,77764.0,-3.0374363706901395,0.4401631915345232,344.0,226.0,283.0,-4.002463366974029,2.0,2.0,0.4197675465325506,1,0.043,0,0,1
